predication_id	indicator_type	predicate_start_index	predicate_end_index	predicate	predicate_definition	subject_start_index	subject_end_index	subject_score	subject_text	subject_pref_name	subject_CUI	subject_stype_name	subject_stype_desc	subject_desc	object_start_index	object_end_index	object_score	object_text	object_pref_name	object_CUI	object_stype_name	object_stype_desc	object_desc	sentence	sentence_html	pmid	uniq_id	form_sent	form_sub_text	form_obj_text
0	null	41	43	ISA	null	30	40	0	meditation	Meditation Therapy	C0814263	Therapeutic or Preventive Procedure	A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.	Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn)	47	59	0	intervention	Intervention regimes	C1273869	Health Care Activity	An activity of or relating to the practice of medicine or involving the care of patients.	Health Care Activity. null	Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.	<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>	16617173	uniq_id_b0	"Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area."	"""<span class=""subject_text"">meditation</span>"""	"""<span class=""object_text"">intervention</span>"""
0	null	29	34	TREATS	null	38	53	0	steroid therapy	Steroid therapy	C0149783	Therapeutic or Preventive Procedure	A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.	Treatment with corticosteroid drugs to reduce swelling, pain, and other symptoms of inflammation.	4	11	0	patient	Patients	C0030705	Human	Modern man, the only remaining species of the Homo genus.	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	One patient was successfully cured by steroid therapy, while the other did not respond to steroid but oral mesalazine was effective.	<div>One <strong>patient</strong> was successfully cured by <strong>steroid therapy</strong>, while the other did not respond to steroid but oral mesalazine was effective.</div>	16415554	uniq_id_b1	"One <span class=""object_text"">patient</span> was successfully cured by <span class=""subject_text"">steroid therapy</span>, while the other did not respond to steroid but oral mesalazine was effective."	"""<span class=""subject_text"">steroid therapy</span>"""	"""<span class=""object_text"">patient</span>"""
0	null	43	54	COEXISTS_WITH	null	0	28	0	Systemic lupus erythematosus	Lupus Erythematosus, Systemic	C0024141	Disease or Syndrome	A condition which alters or interferes with a normal process, state, or activity of an organism. It is usually characterized by the abnormal functioning of one or more of the host's systems, parts, or organs. Included here is a complex of symptoms descriptive of a disorder.	chronic, relapsing, inflammatory, and often febrile multisystemic disorder of connective tissue, characterized principally by involvement of the skin, joints, kidneys, and serosal membranes; it is of unknown etiology, but is thought to represent a failure of the regulatory mechanisms of the autoimmune system; the disease is marked by a wide range of system dysfunctions, an elevated erythrocyte sedimentation rate, and the formation of LE cells in the blood or bone marrow.	58	83	0	gastrointestinal symptoms	Gastrointestinal symptoms NOS	C0426576	Sign or Symptom	An observable manifestation of a disease or condition based on clinical judgment, or a manifestation of a disease or condition which is experienced by the patient and reported as a subjective observation.	Sign or Symptom. null	Systemic lupus erythematosus is frequently accompanied by gastrointestinal symptoms, but colonic lesions are quite rare, and the regular treatment is not fixed yet.	<div><strong>Systemic lupus erythematosus</strong> is frequently accompanied by <strong>gastrointestinal symptoms</strong>, but colonic lesions are quite rare, and the regular treatment is not fixed yet.</div>	16415554	uniq_id_b2	"<span class=""subject_text"">Systemic lupus erythematosus</span> is frequently accompanied by <span class=""object_text"">gastrointestinal symptoms</span>, but colonic lesions are quite rare, and the regular treatment is not fixed yet."	"""<span class=""subject_text"">Systemic lupus erythematosus</span>"""	"""<span class=""object_text"">gastrointestinal symptoms</span>"""
0	null	0	0	LOCATION_OF	null	89	96	0	colonic	Colon	C0009368	Body Part, Organ, or Organ Component	A collection of cells and tissues which are localized to a specific area or combine and carry out one or more specialized functions of an organism. This ranges from gross structures to small components of complex organs. These structures are relatively localized in comparison to tissues.	part of the large intestine that extends from the cecum to the rectum.	97	104	0	lesions	Lesion	C0221198	Finding	That which is discovered by direct observation or measurement of an organism attribute or condition, including the clinical history of the patient. The history of the presence of a disease is a 'Finding' and is distinguished from the disease itself.	A localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part.	Systemic lupus erythematosus is frequently accompanied by gastrointestinal symptoms, but colonic lesions are quite rare, and the regular treatment is not fixed yet.	<div>Systemic lupus erythematosus is frequently accompanied by gastrointestinal symptoms, but <strong>colonic</strong> <strong>lesions</strong> are quite rare, and the regular treatment is not fixed yet.</div>	16415554	uniq_id_b3	"Systemic lupus erythematosus is frequently accompanied by gastrointestinal symptoms, but <span class=""subject_text"">colonic</span> <span class=""object_text"">lesions</span> are quite rare, and the regular treatment is not fixed yet."	"""<span class=""subject_text"">colonic</span>"""	"""<span class=""object_text"">lesions</span>"""
0	null	12	14	ISA	null	0	11	0	Fasciolosis	Fascioliasis	C0015652	Disease or Syndrome	A condition which alters or interferes with a normal process, state, or activity of an organism. It is usually characterized by the abnormal functioning of one or more of the host's systems, parts, or organs. Included here is a complex of symptoms descriptive of a disorder.	Liver disease caused by infections with parasitic flukes of the genus FASCIOLA, such as FASCIOLA HEPATICA.	27	34	0	disease	Disease	C0012634	Disease or Syndrome	A condition which alters or interferes with a normal process, state, or activity of an organism. It is usually characterized by the abnormal functioning of one or more of the host's systems, parts, or organs. Included here is a complex of symptoms descriptive of a disorder.	top term heading for all specific disorders and diseases; a disease is a deviation from or interruption of the normal structure or function of any part, organ or system (or combination thereof) of the body that is manifested by a characteristic set of symptoms and signs; a disorder is a derangement or abnormality of function.	Fasciolosis is an uncommon disease in this region, as are parasitic infections of the breast.	<div><strong>Fasciolosis</strong> is an uncommon <strong>disease</strong> in this region, as are parasitic infections of the breast.</div>	16024249	uniq_id_b4	"<span class=""subject_text"">Fasciolosis</span> is an uncommon <span class=""object_text"">disease</span> in this region, as are parasitic infections of the breast."	"""<span class=""subject_text"">Fasciolosis</span>"""	"""<span class=""object_text"">disease</span>"""
0	null	78	80	LOCATION_OF	null	86	92	0	breast	Breast	C0006141	Body Part, Organ, or Organ Component	A collection of cells and tissues which are localized to a specific area or combine and carry out one or more specialized functions of an organism. This ranges from gross structures to small components of complex organs. These structures are relatively localized in comparison to tissues.	In humans, one of the paired regions in the anterior portion of the THORAX. The breasts consist of the MAMMARY GLANDS, the SKIN, the MUSCLES, the ADIPOSE TISSUE, and the CONNECTIVE TISSUES.	58	78	0	parasitic infections	Parasitic infection	C0747256	Disease or Syndrome	A condition which alters or interferes with a normal process, state, or activity of an organism. It is usually characterized by the abnormal functioning of one or more of the host's systems, parts, or organs. Included here is a complex of symptoms descriptive of a disorder.	A successful invasion of a host by an organism that uses the host for food and shelter.(On-line Medical Dictionary)	Fasciolosis is an uncommon disease in this region, as are parasitic infections of the breast.	<div>Fasciolosis is an uncommon disease in this region, as are <strong>parasitic infections</strong> of the <strong>breast</strong>.</div>	16024249	uniq_id_b5	"Fasciolosis is an uncommon disease in this region, as are <span class=""object_text"">parasitic infections</span> of the <span class=""subject_text"">breast</span>."	"""<span class=""subject_text"">breast</span>"""	"""<span class=""object_text"">parasitic infections</span>"""
0	null	119	122	NEG_PROCESS_OF	null	127	135	0	symptoms	Symptoms	C1457887	Sign or Symptom	An observable manifestation of a disease or condition based on clinical judgment, or a manifestation of a disease or condition which is experienced by the patient and reported as a subjective observation.	Subjective evidence of disease perceived by the patient.	105	113	0	patients	Patients	C0030705	Human	Modern man, the only remaining species of the Homo genus.	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	The mean tumor size was 2.18 cm, smaller than the proposed for malignant criteria, and none of the eight patients (0%) had any symptoms of hypercalcemia at the time of diagnosis.	<div>The mean tumor size was 2.18 cm, smaller than the proposed for malignant criteria, and none of the eight <strong>patients</strong> (0%) had any <strong>symptoms</strong> of hypercalcemia at the time of diagnosis.</div>	16719197	uniq_id_b6	"The mean tumor size was 2.18 cm, smaller than the proposed for malignant criteria, and none of the eight <span class=""object_text"">patients</span> (0%) had any <span class=""subject_text"">symptoms</span> of hypercalcemia at the time of diagnosis."	"""<span class=""subject_text"">symptoms</span>"""	"""<span class=""object_text"">patients</span>"""
0	null	135	137	MANIFESTATION_OF	null	127	135	0	symptoms	Symptoms	C1457887	Sign or Symptom	An observable manifestation of a disease or condition based on clinical judgment, or a manifestation of a disease or condition which is experienced by the patient and reported as a subjective observation.	Subjective evidence of disease perceived by the patient.	139	152	0	hypercalcemia	Hypercalcemia	C0020437	Disease or Syndrome	A condition which alters or interferes with a normal process, state, or activity of an organism. It is usually characterized by the abnormal functioning of one or more of the host's systems, parts, or organs. Included here is a complex of symptoms descriptive of a disorder.	abnormally high level of calcium in the blood; manifestations include fatigability, muscle weakness, depression, anorexia, nausea, and constipation.	The mean tumor size was 2.18 cm, smaller than the proposed for malignant criteria, and none of the eight patients (0%) had any symptoms of hypercalcemia at the time of diagnosis.	<div>The mean tumor size was 2.18 cm, smaller than the proposed for malignant criteria, and none of the eight patients (0%) had any <strong>symptoms</strong> of <strong>hypercalcemia</strong> at the time of diagnosis.</div>	16719197	uniq_id_b7	"The mean tumor size was 2.18 cm, smaller than the proposed for malignant criteria, and none of the eight patients (0%) had any <span class=""subject_text"">symptoms</span> of <span class=""object_text"">hypercalcemia</span> at the time of diagnosis."	"""<span class=""subject_text"">symptoms</span>"""	"""<span class=""object_text"">hypercalcemia</span>"""
0	null	32	35	PROCESS_OF	null	42	47	0	signs	Physical findings	C0311392	Sign or Symptom	An observable manifestation of a disease or condition based on clinical judgment, or a manifestation of a disease or condition which is experienced by the patient and reported as a subjective observation.	Objective evidence of disease perceptible to the examining healthcare provider.	15	23	0	patients	Patients	C0030705	Human	Modern man, the only remaining species of the Homo genus.	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	Seven of eight patients (87.5%) had frank signs of invasion together with other histological features, and two patients had associated papillary carcinoma of the thyroid.	<div>Seven of eight <strong>patients</strong> (87.5%) had frank <strong>signs</strong> of invasion together with other histological features, and two patients had associated papillary carcinoma of the thyroid.</div>	16719197	uniq_id_b8	"Seven of eight <span class=""object_text"">patients</span> (87.5%) had frank <span class=""subject_text"">signs</span> of invasion together with other histological features, and two patients had associated papillary carcinoma of the thyroid."	"""<span class=""subject_text"">signs</span>"""	"""<span class=""object_text"">patients</span>"""
0	null	120	123	PROCESS_OF	null	135	154	0	papillary carcinoma	Carcinoma, Papillary	C0007133	Neoplastic Process	A new and abnormal growth of tissue in which the growth is uncontrolled and progressive. The growths may be malignant or benign.	A malignant neoplasm characterized by the formation of numerous, irregular, finger-like projections of fibrous stroma that is covered with a surface layer of neoplastic epithelial cells. (Stedman, 25th ed)	111	119	0	patients	Patients	C0030705	Human	Modern man, the only remaining species of the Homo genus.	Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.	Seven of eight patients (87.5%) had frank signs of invasion together with other histological features, and two patients had associated papillary carcinoma of the thyroid.	<div>Seven of eight patients (87.5%) had frank signs of invasion together with other histological features, and two <strong>patients</strong> had associated <strong>papillary carcinoma</strong> of the thyroid.</div>	16719197	uniq_id_b9	"Seven of eight patients (87.5%) had frank signs of invasion together with other histological features, and two <span class=""object_text"">patients</span> had associated <span class=""subject_text"">papillary carcinoma</span> of the thyroid."	"""<span class=""subject_text"">papillary carcinoma</span>"""	"""<span class=""object_text"">patients</span>"""
